,ADDRESS_NORM,SUM_SEDIMENT,SUM_BIOLOGICAL_GROWTH,SUM_DEBRIS_INSECTS,SUM_RODENT_BIRD,SUM_COLIFORM,SUM_ECOLI,ADDRESS,LATITUDE,LONGITUDE,ZIP,# of Tanks,CENSUS_TRACT,# OF VIOLATIONS
0,1 centre street,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,1 centre street,40.713001,-74.004181,10007,4,29,1
1,100 centre street,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,100 Centre street,40.716084,-74.001425,10013,2,29,1
2,100 dreiser loop,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,100 Dreiser Loop,40.878155,-73.82813,10475,1,46201,2
3,1020 fifth avenue,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,1020 Fifth Avenue,40.779558,-73.961531,10028,1,142,2
4,1056 fifth avenue,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,1056 Fifth Avenue,40.782107,-73.959988,10028,1,15002,2
5,108 west 39th st,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,108 West 39th St,40.753173,-73.986075,10018,1,113,1
6,111 john st,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,111 John St,40.707671,-74.005764,10038,2,1502,1
7,1118 grand concourse,Violation,Meets standards,Violation,Violation,Meets standards,Meets standards,1118 Grand Concourse,40.832232,-73.919655,10456,1,18102,4
8,121 west 27th st,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,121 West 27th St,40.745831,-73.991916,10001,1,95,2
9,1220 fifth avenue,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,1220 Fifth Avenue,40.792438,-73.952448,10029,1,168,2
10,125 worth street,Violation,Violation,Violation,Violation,Meets standards,Meets standards,125 worth street,40.715428,-74.002673,10013,1,31,4
11,136 east 57 street,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,136 East 57 Street,40.760822,-73.968898,10022,1,11203,1
12,138 willoughby street,Violation,Meets standards,Violation,Meets standards,Violation,Meets standards,138 Willoughby Street,40.692069,-73.983135,11201,5,15,2
13,140 east 72nd street,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,140 East 72nd Street,40.770533,-73.962493,10021,1,128,2
14,1420 wood road,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,1420 Wood Road,40.835886,-73.862277,10462,1,21602,1
15,145 west 44 street,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,145 West 44 Street,40.756667,-73.984396,10036,2,119,1
16,1469 east avenue,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,1469 East Avenue,40.83674,-73.860183,10462,1,212,1
17,1470 west avenue,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,1470 West Avenue,40.83692,-73.861433,10462,1,21602,1
18,15 west 56th street,Violation,Meets standards,Violation,Violation,Meets standards,Meets standards,15 West 56th Street,40.76264,-73.975258,10019,1,11201,3
19,150 william street,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,150 William Street,40.709729,-74.006255,10038,2,1501,2
20,1551 unionport road,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,1551 Unionport Road,40.836926,-73.857433,10462,1,212,1
21,1560 metropolitan ave,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,1560 Metropolitan Ave,40.839754,-73.857904,10462,1,21002,1
22,160 madison street,Meets standards,Violation,Meets standards,Violation,Meets standards,Meets standards,160 Madison Street,40.712488,-73.991924,10002,2,6,1
23,1655 flatbush avenue,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,1655 Flatbush Avenue,40.630096,-73.944757,11210,1,776,1
24,18 boerum st,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,18 Boerum St,40.705321,-73.948954,11206,1,491,2
25,181 convent avenue,Violation,Meets standards,Meets standards,Meets standards,Violation,Meets standards,181 Convent Avenue,40.819574,-73.949921,10031,2,21703,2
26,190 willoughby street,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,190 Willoughby Street,40.691958,-73.980152,11201,1,31,1
27,201 east 62nd street,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,201 East 62nd Street,40.763296,-73.964869,10065,1,110,2
28,210 joralemon street,Violation,Meets standards,Violation,Violation,Meets standards,Meets standards,210 Joralemon Street,40.692459,-73.990491,11201,2,9,5
29,22 metropolitan oval,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,22 Metropolitan Oval,40.838196,-73.85911,10462,1,21002,1
30,225 broadway,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,225 Broadway,40.71187,-74.008217,10007,1,21,1
31,230 east 115th street,Meets standards,Meets standards,Violation,Meets standards,Meets standards,Meets standards,230 East 115th Street,40.796689,-73.939208,10029,1,180,2
32,25 west 32 street,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,25 West 32 Street,40.747535,-73.986372,10001,1,76,1
33,265 east 161 street,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,265 east 161 street,40.825928,-73.919514,10451,1,18302,3
34,270 w 89th st,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,270 W 89th St,40.790557,-73.975862,10024,1,175,1
35,30 west 70th st,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,30 West 70th St,40.77533,-73.977922,10023,1,153,1
36,300 jay street,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,300 Jay Street,40.695547,-73.98714,11201,1,13,2
37,301 east 66th street,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,301 East 66th Street,40.764846,-73.960789,10065,1,118,2
38,305 east 40th street,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,305 East 40th Street,40.748469,-73.972954,10016,1,88,2
39,31 chambers street,Violation,Violation,Violation,Violation,Meets standards,Meets standards,31 Chambers street,40.713402,-74.004635,10007,1,31,5
40,31 west 17 street,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,31 West 17 Street,40.738418,-73.993393,10011,1,54,1
41,310 east 46th street,Meets standards,Violation,Meets standards,Meets standards,Meets standards,Meets standards,310 East 46th Street,40.752154,-73.969834,10017,1,90,1
42,34-27 34th st,Meets standards,Violation,Meets standards,Violation,Meets standards,Violation,34-27 34th St,40.758027,-73.925263,11106,1,57,2
43,345 adams street,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,345 adams street,40.6934,-73.988915,11201,1,11,1
44,35 hale street,Meets standards,Meets standards,Meets standards,Meets standards,Violation,Violation,35 hale street,40.514811,-74.236572,10307,1,248,2
45,360 adams street,Violation,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,360 adams street,40.694122,-73.988904,11201,1,11,2
46,382 third ave,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,382 Third Ave,40.741641,-73.981112,10016,1,68,1
47,4 irving place,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,4 Irving Place,40.734163,-73.988627,10003,2,50,1
48,4 sutton place,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,4 Sutton Place,40.757512,-73.960576,10022,1,10601,2
49,40-35 72 street,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,40-35 72 Street,40.74598,-73.893442,11377,1,265,1
50,44 metropolitan oval,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,44 Metropolitan Oval,40.837755,-73.859639,10462,1,212,1
51,441 ninth ave,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,441 Ninth Ave,40.753758,-73.996048,10001,2,111,1
52,45 monroe place,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,45 monroe place,40.695822,-73.992802,11201,1,502,3
53,455 east 57th street,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,455 East 57th Street,40.757809,-73.961713,10022,1,10601,2
54,47 east 88th street,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,47 East 88th Street,40.78198,-73.95741,10128,1,15002,2
55,520 12th ave,Meets standards,Meets standards,Meets standards,Violation,Meets standards,Meets standards,520 12th Ave,40.762316,-74.000036,10036,1,129,2
56,53 east 66th street,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,53 East 66th Street,40.767746,-73.967668,10065,1,122,2
57,541 lexington avenue,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,541 Lexington Avenue,40.756162,-73.972593,10022,1,100,2
58,60 centre street,Violation,Meets standards,Violation,Meets standards,Meets standards,Meets standards,60 centre street,40.714467,-74.002503,10007,2,29,3
59,62 hanson place,Meets standards,Meets standards,Meets standards,Meets standards,Violation,Meets standards,62 HANSON PLACE,40.685414,-73.975096,11217,1,35,1
60,640 east 137 street,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,640 East 137 Street,40.805087,-73.91553,10454,2,2701,1
61,70 east 108th street,Meets standards,Meets standards,Meets standards,Violation,Meets standards,Meets standards,70 East 108th Street,40.794429,-73.947434,10029,2,17401,1
62,70 lenox ave,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,70 Lenox Ave,40.800288,-73.95094,10026,1,186,1
63,720 park avenue,Meets standards,Meets standards,Meets standards,Violation,Meets standards,Meets standards,720 Park Avenue,40.76995,-73.964681,10021,1,130,1
64,80 centre street,Violation,Violation,Violation,Violation,Meets standards,Meets standards,80 Centre street,40.715447,-74.00189,10013,1,29,4
65,812 fifth avenue,Violation,Violation,Violation,Meets standards,Meets standards,Meets standards,812 Fifth Avenue,40.766378,-73.971459,10065,1,11401,2
66,851 grand concourse,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,851 Grand Concourse,40.826048,-73.923102,10451,2,63,1
67,866 third ave,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,866 Third Ave,40.757435,-73.9696,10022,1,100,1
68,90 prince st,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,Meets standards,90 prince st,40.72451,-73.998358,10012,1,49,2
69,955 fifth avenue,Violation,Violation,Meets standards,Meets standards,Meets standards,Meets standards,955 Fifth Avenue,40.775466,-73.96483,10075,1,130,2
70,969 fifth avenue,Violation,Violation,Violation,Meets standards,Meets standards,Meets standards,969 Fifth Avenue,40.776111,-73.963992,10075,1,142,3
